Species3;Family3;Order3;Clade;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand-Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;Species.Status
Caprimulgus clarus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;17,3;5,4;4,1;2,8;19,2;147,8;69,1;78,7;46,8;115,2;42,5;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Aerial;-7,06;12,16;3,35;39,2825208;1225629,63;Extant
Caprimulgus climacurus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;16,1;5,2;4;2,4;17,9;143,2;70,4;72,8;49,2;213,8;45,8;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Aerial;0,47;19,72;10,09;11,27097253;7239636,45;Extant
Caprimulgus concretus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;22,9;7,4;4,9;3,4;11,9;164;77,6;86,4;47,3;92,5;57,51;EltonTraits_GenAvg;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;-5,95;7,04;0,2;108,6407601;976183,03;Extant
Caprimulgus cubanensis;Caprimulgidae;Caprimulgiformes;NA;4;0;3;1;4;25,8;10,1;7,2;4,3;17,3;175;81,9;93,1;47;128,2;63,5;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Aerial;19,83;23,19;21,61;-79,00725526;109234,54;Extant
Caprimulgus donaldsoni;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;17,8;6,9;4,4;2,7;18,6;130,2;57,3;73;44;99;29;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Aerial;-4,6;10,19;2,58;40,84768722;751577,81;Extant
Caprimulgus ekmani;Caprimulgidae;Caprimulgiformes;NA;1;1;0;0;1;24,1;8,8;5,4;4,6;16,1;172,3;78,6;93,7;45,6;134,9;64;Updated_literature;Dunning (2021);NO;NA;NA;NA;2;1;Carnivore;Invertivore;Aerial;17,87;19,4;18,76;-70,64407303;14481,86;Extant
Caprimulgus enarratus;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18;6,2;4,4;2,9;19,8;147,5;63,7;83,8;43,2;103,8;52,8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Aerial;-25,19;-11,95;-18,45;48,23984528;226375,93;Extant
Caprimulgus europaeus;Caprimulgidae;Caprimulgiformes;NA;9;4;5;0;4;20,2;7,3;4,5;3,1;17,3;183,2;103,3;90,2;53,4;130,6;67;Dunning;NA;NO;NA;NA;Shrubland;2;3;Carnivore;Invertivore;Aerial;25;64,46;47,43;55,7095306;19002486,05;Extant
Caprimulgus eximius;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;18,6;7,3;6;3,2;23,4;181,8;82,5;99,3;45,3;113;66,29;Dunning;NA;NO;NA;NA;Desert;3;2;Carnivore;Invertivore;Aerial;10,59;18,81;14,6;12,84335229;1981466,64;Extant
Caprimulgus fossii;Caprimulgidae;Caprimulgiformes;NA;4;2;2;0;4;16,7;4,9;3,8;2,7;19;155;70,2;84,8;45,4;109;58,29;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Aerial;-30,2;0,82;-12,6;26,49218373;5155775,73;Extant
